keys,zh_TW
ui.start,開始
ui.settings,設定
ui.back,返回
ui.confirm,確認
ui.cancel,取消
ui.select_corps,選擇6名武將編隊
ui.select_deploy,選擇3名武將出戰
ui.deploy,出戰
ui.opponent_corps,敵方部隊
ui.character_name,武將名
ui.type,屬性：%s
ui.hp,體力：%d
ui.attack,攻擊：%d
ui.defense,防禦：%d
ui.speed,速度：%d
ui.intelligence,智力：%d
ui.spirit,精神：%d
ui.move_1,技能1：--
ui.move_2,技能2：--
ui.move_3,技能3：--
ui.move_4,技能4：--
ui.desc_placeholder,描述將在此顯示...
ui.battle,戰鬥開始！
ui.victory,勝利！
ui.defeat,失敗...
ui.return_title,返回標題
ui.battle_failed,無法開始戰鬥！
ui.turn_format,%s的回合
ui.switch_bench,替換（替補）
ui.choose_switch,選擇要替換的武將：
ui.no_bench,沒有替補武將！
ui.switch_in,替換上場
ui.switched,替換成功！
ui.switch_failed,替換失敗！
ui.defeated,戰鬥不能
ui.stat_attack,攻擊
ui.stat_defense,防禦
ui.stat_speed,速度
ui.stat_intelligence,智力
ui.stat_spirit,精神
ui.type_wood,木
ui.type_fire,火
ui.type_earth,土
ui.type_metal,金
ui.type_water,水
ui.type_yang,陽
ui.type_yin,陰
ui.effect_burn,灼燒
ui.effect_poison,中毒
ui.effect_confusion,混亂
ui.effect_chain,連鎖
ui.effect_charm,魅惑
ui.language,語言
ui.master_volume,主音量
ui.bgm_volume,BGM音量
ui.sfx_volume,音效音量
ui.select_corps_count,選擇6名武將編隊（%d/6）
ui.select_deploy_count,選擇3名武將出戰（%d/3）
char.cao_cao.name,曹操
char.cao_cao.desc,統一北方的梟雄，精通謀略與權術。
char.cao_ren.name,曹仁
char.cao_ren.desc,魏國堅不可摧的盾。以殘兵死守樊城，抵擋關羽圍攻。
char.chen_gong.name,陳宮
char.chen_gong.desc,立場多變的謀士。先事曹操，後輔呂布，最終拒絕求饒而死。
char.da_qiao.name,大喬
char.da_qiao.desc,喬家姐妹的長女，孫策之妻。其愁緒被傳唱數百年。
