keys,ja
ui.start,はじめる
ui.settings,設定
ui.back,戻る
ui.confirm,決定
ui.cancel,キャンセル
ui.select_corps,部隊編成（6人選択）
ui.select_deploy,出撃武将（3人選択）
ui.deploy,出撃
ui.opponent_corps,敵軍
ui.character_name,武将名
ui.type,属性: %s
ui.hp,HP: %d
ui.attack,攻撃: %d
ui.defense,防御: %d
ui.speed,素早さ: %d
ui.intelligence,知力: %d
ui.spirit,精神力: %d
ui.move_1,技1: --
ui.move_2,技2: --
ui.move_3,技3: --
ui.move_4,技4: --
ui.desc_placeholder,説明がここに表示されます...
ui.battle,戦闘開始！
ui.victory,勝利！
ui.defeat,敗北...
ui.return_title,タイトルに戻る
ui.battle_failed,戦闘を開始できませんでした！
ui.turn_format,%sのターン
ui.switch_bench,交代（控え）
ui.choose_switch,交代する武将を選択してください：
ui.no_bench,控えの武将がいません！
ui.switch_in,交代
ui.switched,交代しました！
ui.switch_failed,交代できませんでした！
ui.defeated,戦闘不能
ui.stat_attack,攻撃
ui.stat_defense,防御
ui.stat_speed,素早さ
ui.stat_intelligence,知力
ui.stat_spirit,精神力
ui.type_wood,木
ui.type_fire,火
ui.type_earth,土
ui.type_metal,金
ui.type_water,水
ui.type_yang,陽
ui.type_yin,陰
ui.effect_burn,火傷
ui.effect_poison,毒
ui.effect_confusion,混乱
ui.effect_chain,連鎖
ui.effect_charm,魅了
ui.language,言語
ui.master_volume,マスター音量
ui.bgm_volume,BGM音量
ui.sfx_volume,SFX音量
ui.select_corps_count,部隊編成（%d/6選択）
ui.select_deploy_count,出撃武将（%d/3選択）
char.cao_cao.name,曹操
char.cao_cao.desc,北方を統一した狡猾な覇者。戦略と政略の達人。
char.cao_ren.name,曹仁
char.cao_ren.desc,魏の鉄壁。関羽の包囲を少数の兵で守り抜いた樊城の守将。
char.chen_gong.name,陳宮
char.chen_gong.desc,忠節を移ろわせた軍師。曹操に仕えたのち呂布に従い、命乞いを拒んで死んだ。
char.da_qiao.name,大喬
