keys,zh_CN
ui.start,开始
ui.settings,设置
ui.back,返回
ui.confirm,确认
ui.cancel,取消
ui.select_corps,选择6名武将编队
ui.select_deploy,选择3名武将出战
ui.deploy,出战
ui.opponent_corps,敌方部队
ui.character_name,武将名
ui.type,属性：%s
ui.hp,体力：%d
ui.attack,攻击：%d
ui.defense,防御：%d
ui.speed,速度：%d
ui.intelligence,智力：%d
ui.spirit,精神：%d
ui.move_1,技能1：--
ui.move_2,技能2：--
ui.move_3,技能3：--
ui.move_4,技能4：--
ui.desc_placeholder,描述将在此显示...
ui.battle,战斗开始！
ui.victory,胜利！
ui.defeat,失败...
ui.return_title,返回标题
ui.battle_failed,无法开始战斗！
ui.turn_format,%s的回合
ui.switch_bench,替换（替补）
ui.choose_switch,选择要替换的武将：
ui.no_bench,没有替补武将！
ui.switch_in,替换上场
ui.switched,替换成功！
ui.switch_failed,替换失败！
ui.defeated,战斗不能
ui.stat_attack,攻击
ui.stat_defense,防御
ui.stat_speed,速度
ui.stat_intelligence,智力
ui.stat_spirit,精神
ui.type_wood,木
ui.type_fire,火
ui.type_earth,土
ui.type_metal,金
ui.type_water,水
ui.type_yang,阳
ui.type_yin,阴
ui.effect_burn,灼烧
ui.effect_poison,中毒
ui.effect_confusion,混乱
ui.effect_chain,连锁
ui.effect_charm,魅惑
ui.language,语言
ui.master_volume,主音量
ui.bgm_volume,BGM音量
ui.sfx_volume,音效音量
ui.select_corps_count,选择6名武将编队（%d/6）
ui.select_deploy_count,选择3名武将出战（%d/3）
char.cao_cao.name,曹操
char.cao_cao.desc,统一北方的枭雄，精通谋略与权术。
char.cao_ren.name,曹仁
char.cao_ren.desc,魏国坚不可摧的盾。以残兵死守樊城，抵挡关羽围攻。
char.chen_gong.name,陈宫
char.chen_gong.desc,立场多变的谋士。先事曹操，后辅吕布，最终拒绝求饶而死。
char.da_qiao.name,大乔
char.da_qiao.desc,乔家姐妹的长女，孙策之妻。其愁绪被传唱数百年。
char.dian_wei.name,典韦
char.dian_wei.desc,曹操的首席护卫。为掩护主公撤退，以双戟斩杀数十敌后战死。
char.diao_chan.name,貂蝉
char.diao_chan.desc,三国时期的绝色美女。她的魅力动摇着英雄们的心。
char.dong_zhuo.name,董卓
char.dong_zhuo.desc,占据汉都的暴君。他的残暴促成了讨伐他的联盟。
char.gan_ning.name,甘宁
char.gan_ning.desc,吴国的“锦帆贼”将军。水战令敌胆寒，夜袭火烧曹军千艘战船。
char.guan_yu.name,关羽
char.guan_yu.desc,武圣。刀锋与忠义一样锋利，斩尽一切来敌。
char.guo_jia.name,郭嘉
char.guo_jia.desc,曹操最锋利的谋士。英年早逝，但其远见早已助曹平定北方。
char.hua_tuo.name,华佗
char.hua_tuo.desc,传奇神医。他的外科手术与麻沸散领先时代数百年。
char.huang_yue_ying.name,黄月英
char.huang_yue_ying.desc,诸葛亮的妻子，同为发明家。木牛流马与连弩出自她的巧思。
char.huang_zhong.name,黄忠
char.huang_zhong.desc,蜀国老将神射手。年岁未曾削弱他的箭术与斗志。
char.jiang_wei.name,姜维
char.jiang_wei.desc,诸葛亮北伐的继承人。在丞相去世后仍延续蜀汉的志向。
char.liu_bei.name,刘备
char.liu_bei.desc,蜀汉仁德的开国君主。以仁义和兴复汉室之志赢得天下人心。
char.lu_bu.name,吕布
char.lu_bu.desc,天下无双的飞将。武艺无人能敌，但野心使其不忠。
char.lu_xun.name,陆逊
char.lu_xun.desc,吴国沉稳的烈焰。夷陵之战火烧刘备大军，十余年间智胜魏国。
char.lv_meng.name,吕蒙
char.lv_meng.desc,吴国“士别三日”的儒将。虽为关羽之魂所扰，但其计谋已先取下敌人首级。
char.ma_chao.name,马超
char.ma_chao.desc,西凉少年将军。骑兵冲锋迅疾如风。
char.pang_tong.name,庞统
char.pang_tong.desc,号“凤雏”，与诸葛亮齐名的天才。英才早逝于落凤坡。
char.si_ma_yi.name,司马懿
char.si_ma_yi.desc,魏国谋主。隐忍而多谋，熬过了所有对手。
char.sun_ce.name,孙策
char.sun_ce.desc,“小霸王”。以千余人马一举奠定东吴基业。
char.sun_quan.name,孙权
char.sun_quan.desc,江东年少虎君。以坚定的意志建立吴国。
char.sun_shang_xiang.name,孙尚香
char.sun_shang_xiang.desc,孙权的妹妹，嫁与刘备。武艺不逊于任何将领。
char.tai_shi_ci.name,太史慈
char.tai_shi_ci.desc,箭术无双的忠义之士。毕生效忠东吴，直至射出最后一箭。
char.wei_yan.name,魏延
char.wei_yan.desc,勇猛自傲的蜀将。才能因猜忌与暴烈性情而蒙尘。
char.xia_hou_dun.name,夏侯惇
char.xia_hou_dun.desc,魏国独眼将军。忠诚与刚烈为人称道。
char.xia_hou_yuan.name,夏侯渊
char.xia_hou_yuan.desc,迅捷勇猛的魏将。定军山之战为黄忠所斩。
char.xu_chu.name,许褚
char.xu_chu.desc,曹操的巨汉护卫。相传力可敌千军。
char.xun_yu.name,荀彧
char.xun_yu.desc,魏国文治的奠基人，常被称为曹操崛起的真正支柱。
char.yuan_shao.name,袁绍
char.yuan_shao.desc,北方豪强。兵多将广，却在官渡因优柔寡断而一败涂地。
char.zhang_fei.name,张飞
char.zhang_fei.desc,蜀汉猛将。单凭威势便可扭转战局。
char.zhang_jiao.name,张角
char.zhang_jiao.desc,黄巾军“大贤良师”。其起义动摇了汉室根基。
char.zhang_liao.name,张辽
char.zhang_liao.desc,魏国最令敌胆寒的将领。合肥以八百破孙权十万。
char.zhao_yun.name,赵云
char.zhao_yun.desc,常山赵子龙。武艺绝伦，忠勇无双。
char.zhen_ji.name,甄姬
char.zhen_ji.desc,曹魏宫廷闻名的美女甄氏。端庄聪慧，深受曹家宠爱。
char.zhou_yu.name,周瑜
char.zhou_yu.desc,周郎美姿容。谋略如火，用兵如凤，迅捷而炽烈。
char.zhuge_liang.name,诸葛亮
char.zhuge_liang.desc,卧龙。以智慧与远见统御五行的绝世谋臣。
move.earth_barrier.name,土壁
move.earth_barrier.desc,筑起石壁，大幅提升自身防御。
move.fire_strike.name,炎击
move.fire_strike.desc,灼烧敌人的火焰一击。可能造成灼烧。
move.flame_burst.name,炎爆
move.flame_burst.desc,毁灭性的火焰爆发。威力强大但有风险，可能造成灼烧。
move.iron_cleave.name,铁裂
move.iron_cleave.desc,以铁刃连续攻击2-5次的多段攻击。
move.metal_slash.name,金斩
move.metal_slash.desc,锋利的金属斩击。使用者会承受反作用伤害。
move.war_cry.name,战吼
move.war_cry.desc,令敌胆寒的战吼。可能魅惑敌人，降低其攻击。
move.water_surge.name,水冲
move.water_surge.desc,以水流冲击减缓目标，降低其速度。
move.wood_heal.name,木愈
move.wood_heal.desc,借木之力恢复体力。回复最大体力的50%。
effect.burn.name,灼烧
effect.burn.desc,每回合造成持续伤害，并降低攻击。
effect.poison.name,中毒
effect.poison.desc,持续伤害，每回合伤害递增。
effect.confusion.name,混乱
effect.confusion.desc,可能使目标混乱，行动时攻击自己。
effect.chain.name,连锁
effect.chain.desc,在多个目标间连锁伤害，分摊受到的伤害。
effect.charm.name,魅惑
effect.charm.desc,以魅惑降低目标的攻击。
ui.category_physical,物理
ui.category_arts,法术
ui.move_stats,威力:%d 命中:%d%% %s
ui.enemy_acted,敌方行动了。
ui.action_executed,行动已执行。
ui.name_type_format,%s（%s）
